version,视频数,传播度,讨论度,喜爱度,综合指数
0.5,13,9.2,0.93,7.63,6.35
1.0,23,8.0,1.48,7.19,5.96
1.1,7,5.17,0.93,4.78,3.92
1.2,10,14.98,2.79,14.14,11.51
1.3,14,6.07,1.34,6.11,4.91
1.4,10,5.77,1.32,5.94,4.74
1.5,10,4.95,0.77,4.16,3.51
1.6,12,6.36,1.79,6.0,5.04
2.0,18,12.19,2.26,13.14,10.18
2.1,10,13.05,2.9,12.45,10.21
2.2,13,10.82,2.65,14.31,10.52
2.3,12,10.28,3.17,14.36,10.54
2.4,10,4.47,1.35,5.23,4.07
2.5,11,5.71,2.19,6.81,5.38
2.6,6,5.58,1.7,5.58,4.61
2.7,11,6.98,3.88,8.0,6.71
3.0,14,7.85,6.15,9.0,8.0
3.1,8,3.87,2.41,4.1,3.62
3.2,15,7.33,8.58,11.56,9.76
3.3,7,8.12,7.83,10.48,9.23
3.4,11,13.56,17.95,13.78,14.77
3.5,6,6.12,8.87,7.4,7.45
3.6,9,4.4,3.94,6.58,5.38
3.7,9,8.59,12.44,13.15,11.83
3.8,6,9.0,3.58,6.8,6.54
4.0,9,6.96,3.47,9.98,7.6
4.1,6,3.61,2.38,3.69,3.34
4.2,13,5.64,3.63,8.93,6.78
4.3,4,1.82,1.36,2.43,2.01
